time,vehicle_id,speed,x_position,y_position
0,v_0,0.0,-94.9,-2.5
0,v_1,0.0,2.5,-94.9
0,v_10,0.0,94.9,2.5
0,v_11,0.0,-2.5,94.9
1,v_0,1.3775463235564531,-93.52245367644355,-2.5
1,v_1,1.9592106993775815,2.5,-92.94078930062241
1,v_10,1.714695097366348,93.18530490263365,2.5
1,v_11,1.3555833633756265,-2.5,93.54441663662438
2,v_0,3.896291628992185,-89.62616204745136,-2.5
2,v_1,4.443493659212255,2.5,-88.49729564141016
2,v_10,3.907223608368077,89.27808129426558,2.5
2,v_11,2.861884199175983,-2.5,90.68253243744839
3,v_0,6.245073200762272,-83.3810888466891,-2.5
3,v_1,5.82534895259887,2.5,-82.67194668881129
3,v_10,5.358133152336815,83.91994814192876,2.5
3,v_11,4.319945779233239,-2.5,86.36258665821515
3,v_12,0.0,-94.9,-2.5
3,v_2,0.0,94.9,2.5
3,v_3,0.0,-2.5,94.9
3,v_5,0.0,2.5,-94.9
4,v_0,8.456776496069505,-74.92431235061959,-2.5
4,v_1,8.209491404728034,2.5,-74.46245528408326
4,v_10,6.775177178741434,77.14477096318733,2.5
4,v_11,6.8709621238987895,-2.5,79.49162453431636
4,v_12,1.3674754038453103,-93.53252459615469,-2.5
4,v_2,2.5713910704944283,92.32860892950558,2.5
4,v_3,0.8201385892260762,-2.5,94.07986141077393
4,v_5,1.441202671825886,2.5,-93.45879732817411
5,v_0,10.790546028735115,-64.13376632188447,-2.5
5,v_1,9.614643458463252,2.5,-64.84781182562001
5,v_10,9.298765695421027,67.8460052677663,2.5
5,v_11,9.28631882192567,-2.5,70.2053057123907
5,v_12,3.06808350768406,-90.46444108847064,-2.5
5,v_2,4.009983659628778,88.31862526987679,2.5
5,v_3,3.3093712660748458,-2.5,90.77049014469908
5,v_5,3.5090907727135345,2.5,-89.94970655546058
6,v_0,12.79210014536511,-51.341666176519354,-2.5
6,v_1,11.164262612094172,2.5,-53.68354921352584
6,v_10,10.953216616064312,56.89278865170199,2.5
6,v_11,11.714342265226879,-2.5,58.4909634471638
6,v_12,4.816779931727797,-85.64766115674283,-2.5
6,v_2,6.2068295374047,82.11179573247209,2.5
6,v_3,4.812734198759677,-2.5,85.9577559459394
6,v_4,0.0,-94.9,-2.5
6,v_5,6.1037216458702455,2.5,-83.84598490959033
6,v_6,0.0,94.9,2.5
6,v_7,0.0,-2.5,94.9
6,v_9,0.0,2.5,-94.9
7,v_0,12.224213865547126,-39.117452310972226,-2.5
7,v_1,12.475803827027127,2.5,-41.207745386498715
7,v_10,12.700856492854657,44.19193215884734,2.5
7,v_11,13.77226769893896,-2.5,44.718695748224846
7,v_12,7.022592256241478,-78.62506890050136,-2.5
7,v_2,7.670932240760885,74.44086349171121,2.5
7,v_3,6.983272800783994,-2.5,78.9744831451554
7,v_4,1.5117957962839528,-93.38820420371604,-2.5
7,v_5,7.512026897678152,2.5,-76.33395801191219
7,v_6,2.289376501645893,92.6106234983541,2.5
7,v_7,1.7280504664690932,-2.5,93.1719495335309
7,v_9,1.7432544842362403,2.5,-93.15674551576376
8,v_0,7.724213865547126,-31.393238445425098,-2.5
